1693,blackcoin,Blackcoin,2018-01-15 20:40:27.633,BLK
1694,deeponion,Deeponion,2018-01-15 20:40:27.633,ONION
1695,dimecoin,Dimecoin,2018-01-15 20:40:27.633,DIME
1696,whitecoin,Whitecoin,2018-01-15 20:40:27.637,XWC
1697,blocktix,Blocktix,2018-01-15 20:40:27.637,TIX
1698,nimiq,Nimiq,2018-01-15 20:40:27.637,NET
1699,nolimitcoin,Nolimitcoin,2018-01-15 20:40:27.637,NLC2
1700,ion,Ion,2018-01-15 20:40:27.637,ION
1701,faircoin,Faircoin,2018-01-15 20:40:27.637,FAIR
1702,encrypgen,Encrypgen,2018-01-15 20:40:27.637,DNA
1703,phore,Phore,2018-01-15 20:40:27.637,PHR
1704,moeda-loyalty-points,Moeda Loyalty Points,2018-01-15 20:40:27.637,MDA
1705,gridcoin,Gridcoin,2018-01-15 20:40:27.637,GRC
1706,expanse,Expanse,2018-01-15 20:40:27.640,EXP
1707,dubaicoin-dbix,Dubaicoin Dbix,2018-01-15 20:40:27.640,DBIX
1708,snovio,Snovio,2018-01-15 20:40:27.640,SNOV
1709,vericoin,Vericoin,2018-01-15 20:40:27.640,VRC
1710,bodhi,Bodhi,2018-01-15 20:40:27.640,BOT
1711,newyorkcoin,Newyorkcoin,2018-01-15 20:40:27.640,NYC
1712,golos,Golos,2018-01-15 20:40:27.640,GOLOS
1713,ormeus-coin,Ormeus Coin,2018-01-15 20:40:27.640,ORME
1714,suncontract,Suncontract,2018-01-15 20:40:27.640,SNC
1715,dovu,Dovu,2018-01-15 20:40:27.640,DOVU
1716,clearpoll,Clearpoll,2018-01-15 20:40:27.640,POLL
1717,numeraire,Numeraire,2018-01-15 20:40:27.640,NMR
1718,airtoken,Airtoken,2018-01-15 20:40:27.640,AIR
1719,peerplays-ppy,Peerplays Ppy,2018-01-15 20:40:27.643,PPY
1720,neumark,Neumark,2018-01-15 20:40:27.643,NEU
1721,divi,Divi,2018-01-15 20:40:27.643,DIVX
